Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
no units	mSecs	no units	m/(sec^2)	no units	m/(sec^2)	no units	m/(sec^2)	no units	deg/sec	no units	deg/sec	no units	deg/sec	no units	local	no units	local	no units	local	local	local	local	local	local	local	local	local
28008	46756.7138671875	1217	0.737442872871209	1944	9.67937255922309	1936	1.41431231825924	-707	0.118703841906676	85	6.95140584281055	156	-1.1505675857175	137	0.224532224532225	-493	-0.671548117154812	-20	-0.599526066350711	1.66003293875769	0.751973610589055	-0.463568002762804	-0.46865807983237	0.674863606708428	0.554913275449915	-0.342086524293552	-0.345842708419153
31220	46854.736328125	1215	0.437743776545896	1969	9.70646593572852	1926	1.53779123693334	-612	2.13324591220117	-46	5.52690996908048	201	-1.879774532451	139	0.22037422037422	-484	-0.652719665271966	-20	-0.599526066350711	1.66399011622976	0.754186897591079	-0.448830925860028	-0.479325488049168	0.673402201988745	0.557552512735523	-0.331810074274658	-0.354353981928889
34432	46952.7587890625	1219	0.606023373638525	1955	9.65659036867325	1925	1.54815663373349	-314	0.223267457779158	86	0.965189876354426	281	-3.06631470616722	141	0.216216216216216	-499	-0.684100418410042	-22	-0.59478672985782	1.65745893981193	0.747877400687085	-0.458271820696961	-0.48027734893145	0.675812779125432	0.551240482997275	-0.337779934990615	-0.353999622871871
37644	47050.78125	1215	0.725999378437566	1945	9.7035833797096	1933	1.45057133151683	-385	-0.753176537365793	149	2.03117374518475	221	-2.12823101916083	143	0.212058212058212	-494	-0.673640167364017	-19	-0.601895734597156	1.66052779718892	0.746213219149631	-0.464774159742905	-0.476603411655457	0.674680997521879	0.550787024423863	-0.343054196715543	-0.351785479269743
40856	47148.8037109375	1215	0.6178282415806	1954	9.70466509107817	1931	1.47574942842757	-1022	-6.08589937024229	488	11.6933917989551	97	-0.123229961156085	136	0.226611226611227	-469	-0.621338912133891	-21	-0.597156398104265	1.65182498750751	0.751339682165881	-0.455656063878168	-0.477353363300112	0.67788641295526	0.552359881165609	-0.334983144468825	-0.350934275514867
44068	47246.826171875	1219	0.569404191450867	1958	9.65695656049513	1929	1.50033005447103	-881	-4.7999794361502	406	9.55627926657625	128	-0.62353501017473	140	0.218295218295218	-481	-0.646443514644351	-22	-0.59478672985782	1.64574870913774	0.753745216077574	-0.452248243240342	-0.47680150558298	0.680116819600665	0.552573446215456	-0.331544884109066	-0.349544972864663
47280	47344.8486328125	1218	0.643003929334615	1952	9.66826875588738	1919	1.62007598480304	-613	-4.79392887784163	411	5.4635754869875	149	-0.945150203827123	137	0.224532224532225	-497	-0.679916317991632	-20	-0.599526066350711	1.63579806359341	0.752208347177608	-0.45353855012497	-0.478001449774863	0.683755814613119	0.548894624029698	-0.330952019992727	-0.348802864318487
50492	47442.87109375	1225	0.557599323508792	1959	9.58478545254805	1921	1.59683364531913	-450	-5.30498315321201	448	2.9689878607218	161	-1.11864007974041	133	0.232848232848233	-483	-0.650627615062761	-20	-0.599526066350711	1.63865855869443	0.753068728470775	-0.449344274029041	-0.480600888052367	0.682711448404916	0.550258347417688	-0.32833050729767	-0.351169342755987
53704	47540.8935546875	1228	0.413411293644885	1971	9.55008275453343	1915	1.67056468224427	-6	-2.12273585009946	247	-3.77830755566986	201	-1.79465489720499	136	0.226611226611227	-480	-0.644351464435146	-21	-0.597156398104265	1.64774868261555	0.748469196431112	-0.447550971347109	-0.489379188401003	0.679383385642901	0.549214341723814	-0.328405515268095	-0.359098370504188
56916	47638.916015625	1224	0.534230503296931	1961	9.59706733352125	1916	1.65730829737667	368	-6.04074883991408	513	-9.51501403825607	327	-3.64525973232603	142	0.214137214137214	-493	-0.671548117154812	-23	-0.592417061611374	1.65247032141504	0.737243041743238	-0.457318169285481	-0.497325637226308	0.677649163685467	0.542157731265724	-0.336305081347598	-0.365725987106434
60128	47736.9384765625	1225	0.713230847806342	1946	9.58322913730507	1929	1.49889178790748	-241	-11.5166560725123	862	-0.273927726722177	257	-2.46409431271999	141	0.216216216216216	-493	-0.671548117154812	-18	-0.604265402843602	1.65132785800888	0.734218926660374	-0.462725567387942	-0.496797360116975	0.678069128527354	0.539649541020219	-0.340102428569961	-0.365145132646784
63340	47834.9609375	1222	0.712508100789481	1946	9.61938094308849	1938	1.39046528043789	-1117	1.19098449283323	6	13.2221519502123	114	-0.529024833763584	133	0.232848232848233	-470	-0.623430962343096	-22	-0.59478672985782	1.66248686515105	0.748570398644234	-0.458060850718292	-0.479398180339524	0.673957670681443	0.553021325657934	-0.338401597705473	-0.354164975918805
