temps (s);déplacement mesuré (V)
3.28;0.017
3.282;0.004
3.284;-0.013
3.286;-0.029
3.288;-0.044
3.29;-0.054
3.292;-0.072
3.294;-0.082
3.296;-0.092
3.298;-0.1
3.3;-0.102
3.302;-0.097
3.304;-0.102
3.306;-0.105
3.308;-0.092
3.31;-0.092
3.312;-0.092
3.314;-0.074
3.316;-0.077
3.318;-0.064
3.32;-0.052
3.322;-0.026
3.324;-0.016
3.326;-0.003
3.328;0.01
3.33;0.03
3.332;0.035
3.334;0.045
3.336;0.063
3.338;0.078
3.34;0.088
3.342;0.094
3.344;0.086
3.346;0.101
3.348;0.088
3.35;0.088
3.352;0.076
3.354;0.076
3.356;0.078
3.358;0.073
3.36;0.055
3.362;0.035
3.364;0.03
3.366;0.01
3.368;-0.001
3.37;-0.011
3.372;-0.024
3.374;-0.041
3.376;-0.046
3.378;-0.062
3.38;-0.077
3.382;-0.082
3.384;-0.082
3.386;-0.092
3.388;-0.092
3.39;-0.097
3.392;-0.09
3.394;-0.09
3.396;-0.087
3.398;-0.082
3.4;-0.069
3.402;-0.062
3.404;-0.057
3.406;-0.036
3.408;-0.026
3.41;-0.011
3.412;-0.001
3.414;0.015
3.416;0.03
3.418;0.045
3.42;0.053
3.422;0.063
3.424;0.073
3.426;0.086
3.428;0.091
3.43;0.094
3.432;0.083
3.434;0.088
3.436;0.096
3.438;0.073
3.44;0.083
3.442;0.066
3.444;0.053
3.446;0.053
3.448;0.025
3.45;0.02
3.452;0.015
3.454;-0.013
3.456;-0.018
3.458;-0.034
3.46;-0.046
3.462;-0.052
3.464;-0.062
3.466;-0.082
3.468;-0.087
3.47;-0.09
3.472;-0.095
3.474;-0.097
3.476;-0.097
3.478;-0.1
3.48;-0.097
3.482;-0.082
3.484;-0.077
3.486;-0.077
3.488;-0.052
3.49;-0.054
3.492;-0.029
3.494;-0.016
3.496;-0.008
3.498;-0.001
3.5;0.017
3.502;0.027
3.504;0.045
3.506;0.055
3.508;0.071
3.51;0.068
3.512;0.071
3.514;0.086
3.516;0.081
3.518;0.088
3.52;0.083
3.522;0.083
3.524;0.081
3.526;0.076
3.528;0.073
3.53;0.058
3.532;0.045
3.534;0.035
3.536;0.025
3.538;0.015
3.54;-0.001
3.542;-0.018
3.544;-0.031
3.546;-0.044
3.548;-0.046
3.55;-0.064
3.552;-0.08
3.554;-0.077
3.556;-0.08
3.558;-0.087
3.56;-0.085
3.562;-0.095
3.564;-0.082
3.566;-0.08
3.568;-0.072
3.57;-0.069
3.572;-0.054
3.574;-0.052
3.576;-0.041
3.578;-0.036
3.58;-0.021
3.582;-0.006
3.584;0.01
3.586;0.015
3.588;0.027
3.59;0.05
3.592;0.058
3.594;0.063
3.596;0.071
3.598;0.081
3.6;0.081
3.602;0.081
3.604;0.081
3.606;0.081
3.608;0.071
3.61;0.073
3.612;0.06
3.614;0.055
3.616;0.048
3.618;0.032
3.62;0.017
3.622;0.01
3.624;-0.006
3.626;-0.006
3.628;-0.034
3.63;-0.031
3.632;-0.046
3.634;-0.059
3.636;-0.074
3.638;-0.069
3.64;-0.087
3.642;-0.087
3.644;-0.092
3.646;-0.087
3.648;-0.092
3.65;-0.085
3.652;-0.074
3.654;-0.082
3.656;-0.067
3.658;-0.059
3.66;-0.049
3.662;-0.039
3.664;-0.021
3.666;-0.011
3.668;0.002
3.67;0.007
3.672;0.025
3.674;0.038
3.676;0.045
3.678;0.058
3.68;0.071
3.682;0.078
3.684;0.076
3.686;0.086
3.688;0.091
3.69;0.081
3.692;0.086
3.694;0.076
3.696;0.076
3.698;0.066
3.7;0.05
3.702;0.04
3.704;0.035
3.706;0.022
3.708;0.012
3.71;-0.001
3.712;-0.018
3.714;-0.024
3.716;-0.029
3.718;-0.049
3.72;-0.057
3.722;-0.069
3.724;-0.072
3.726;-0.077
3.728;-0.082
3.73;-0.085
3.732;-0.085
3.734;-0.085
3.736;-0.085
3.738;-0.077
3.74;-0.069
3.742;-0.057
3.744;-0.046
3.746;-0.049
3.748;-0.026
3.75;-0.016
3.752;-0.016
3.754;0.007
3.756;0.01
3.758;0.017
3.76;0.035
3.762;0.04
3.764;0.05
3.766;0.071
3.768;0.068
3.77;0.071
3.772;0.076
3.774;0.071
3.776;0.081
3.778;0.078
3.78;0.068
3.782;0.058
3.784;0.058
3.786;0.05
3.788;0.038
3.79;0.027
3.792;0.01
3.794;0.01
3.796;-0.013
3.798;-0.016
3.8;-0.029
3.802;-0.049
3.804;-0.052
3.806;-0.062
3.808;-0.059
3.81;-0.077
3.812;-0.08
3.814;-0.082
3.816;-0.09
3.818;-0.077
3.82;-0.082
3.822;-0.085
3.824;-0.067
3.826;-0.072
3.828;-0.054
3.83;-0.049
3.832;-0.041
3.834;-0.024
3.836;-0.016
3.838;0.002
3.84;-0.001
3.842;0.017
3.844;0.035
3.846;0.038
3.848;0.053
3.85;0.058
3.852;0.068
3.854;0.063
3.856;0.073
3.858;0.076
3.86;0.076
3.862;0.071
3.864;0.068
3.866;0.06
3.868;0.068
3.87;0.06
3.872;0.038
3.874;0.038
3.876;0.032
3.878;0.01
3.88;0.01
3.882;-0.008
3.884;-0.024
3.886;-0.026
3.888;-0.041
3.89;-0.049
3.892;-0.052
3.894;-0.064
3.896;-0.067
3.898;-0.074
3.9;-0.085
3.902;-0.072
3.904;-0.077
3.906;-0.069
3.908;-0.074
3.91;-0.064
3.912;-0.069
3.914;-0.062
3.916;-0.039
3.918;-0.034
3.92;-0.026
3.922;-0.008
3.924;-0.006
3.926;0.002
3.928;0.02
3.93;0.035
3.932;0.032
3.934;0.045
3.936;0.06
3.938;0.06
3.94;0.073
3.942;0.076
3.944;0.066
3.946;0.071
3.948;0.068
3.95;0.063
3.952;0.055
3.954;0.055
3.956;0.04
3.958;0.04
3.96;0.032
3.962;0.012
3.964;0.004
3.966;0.004
3.968;-0.011
3.97;-0.024
3.972;-0.041
3.974;-0.046
3.976;-0.052
3.978;-0.067
3.98;-0.072
3.982;-0.069
3.984;-0.072
3.986;-0.077
3.988;-0.074
3.99;-0.077
3.992;-0.074
3.994;-0.074
3.996;-0.069
3.998;-0.057
