temps (s);déplacement mesuré (V)
0.746;-0.204
0.748;-0.179
0.75;-0.146
0.752;-0.11
0.754;-0.067
0.756;-0.008
0.758;0.038
0.76;0.106
0.762;0.15
0.764;0.188
0.766;0.231
0.768;0.254
0.77;0.272
0.772;0.282
0.774;0.295
0.776;0.31
0.778;0.31
0.78;0.307
0.782;0.3
0.784;0.295
0.786;0.267
0.788;0.239
0.79;0.178
0.792;0.129
0.794;0.094
0.796;0.043
0.798;-0.001
0.8;-0.049
0.802;-0.072
0.804;-0.118
0.806;-0.151
0.808;-0.189
0.81;-0.237
0.812;-0.263
0.814;-0.281
0.816;-0.301
0.818;-0.316
0.82;-0.309
0.822;-0.304
0.824;-0.283
0.826;-0.263
0.828;-0.248
0.83;-0.214
0.832;-0.202
0.834;-0.166
0.836;-0.128
0.838;-0.095
0.84;-0.057
0.842;0.007
0.844;0.05
0.846;0.104
0.848;0.147
0.85;0.185
0.852;0.218
0.854;0.231
0.856;0.254
0.858;0.269
0.86;0.282
0.862;0.295
0.864;0.297
0.866;0.305
0.868;0.3
0.87;0.285
0.872;0.249
0.874;0.213
0.876;0.165
0.878;0.119
0.88;0.073
0.882;0.025
0.884;-0.011
0.886;-0.041
0.888;-0.072
0.89;-0.115
0.892;-0.153
0.894;-0.189
0.896;-0.24
0.898;-0.268
0.9;-0.288
0.902;-0.296
0.904;-0.309
0.906;-0.304
0.908;-0.288
0.91;-0.268
0.912;-0.255
0.914;-0.232
0.916;-0.222
0.918;-0.189
0.92;-0.171
0.922;-0.141
0.924;-0.09
0.926;-0.036
0.928;0.007
0.93;0.053
0.932;0.106
0.934;0.144
0.936;0.178
0.938;0.2
0.94;0.221
0.942;0.241
0.944;0.259
0.946;0.274
0.948;0.287
0.95;0.297
0.952;0.295
0.954;0.295
0.956;0.262
0.958;0.236
0.96;0.198
0.962;0.144
0.964;0.116
0.966;0.076
0.968;0.038
0.97;0.007
0.972;-0.036
0.974;-0.067
0.976;-0.108
0.978;-0.153
0.98;-0.186
0.982;-0.235
0.984;-0.258
0.986;-0.276
0.988;-0.283
0.99;-0.281
0.992;-0.281
0.994;-0.273
0.996;-0.255
0.998;-0.242
1;-0.23
1.002;-0.207
1.004;-0.192
1.006;-0.164
1.008;-0.118
1.01;-0.082
1.012;-0.026
1.014;0.022
1.016;0.068
1.018;0.109
1.02;0.142
1.022;0.16
1.024;0.185
1.026;0.218
1.028;0.241
1.03;0.262
1.032;0.272
1.034;0.282
1.036;0.29
1.038;0.29
1.04;0.267
1.042;0.236
1.044;0.211
1.046;0.18
1.048;0.137
1.05;0.099
1.052;0.073
1.054;0.038
1.056;-0.001
1.058;-0.036
1.06;-0.08
1.062;-0.128
1.064;-0.161
1.066;-0.192
1.068;-0.23
1.07;-0.258
1.072;-0.27
1.074;-0.281
1.076;-0.278
1.078;-0.263
1.08;-0.263
1.082;-0.255
1.084;-0.248
1.086;-0.222
1.088;-0.209
1.09;-0.181
1.092;-0.148
1.094;-0.097
1.096;-0.059
1.098;-0.018
1.1;0.027
1.102;0.055
1.104;0.091
1.106;0.129
1.108;0.157
1.11;0.178
1.112;0.206
1.114;0.236
1.116;0.244
1.118;0.274
1.12;0.277
1.122;0.269
1.124;0.277
1.126;0.244
1.128;0.234
1.13;0.198
1.132;0.172
1.134;0.137
1.136;0.106
1.138;0.066
1.14;0.038
1.142;0.007
1.144;-0.044
1.146;-0.072
1.148;-0.118
1.15;-0.153
1.152;-0.194
1.154;-0.22
1.156;-0.235
1.158;-0.25
1.16;-0.26
1.162;-0.263
1.164;-0.253
1.166;-0.253
1.168;-0.24
1.17;-0.237
1.172;-0.212
1.174;-0.194
1.176;-0.166
1.178;-0.133
1.18;-0.087
1.182;-0.062
1.184;-0.006
1.186;0.03
1.188;0.071
1.19;0.091
1.192;0.127
1.194;0.144
1.196;0.178
1.198;0.203
1.2;0.218
1.202;0.249
1.204;0.269
1.206;0.262
1.208;0.269
1.21;0.257
1.212;0.241
1.214;0.206
1.216;0.185
1.218;0.157
1.22;0.134
1.222;0.104
1.224;0.071
1.226;0.032
1.228;-0.003
1.23;-0.049
1.232;-0.087
1.234;-0.118
1.236;-0.156
1.238;-0.186
1.24;-0.207
1.242;-0.23
1.244;-0.24
1.246;-0.248
1.248;-0.248
1.25;-0.24
1.252;-0.24
1.254;-0.237
1.256;-0.227
1.258;-0.212
1.26;-0.197
1.262;-0.158
1.264;-0.123
1.266;-0.09
1.268;-0.041
1.27;-0.001
1.272;0.027
1.274;0.058
1.276;0.086
1.278;0.111
1.28;0.152
1.282;0.18
1.284;0.206
1.286;0.218
1.288;0.239
1.29;0.254
1.292;0.259
1.294;0.246
1.296;0.239
1.298;0.229
1.3;0.203
1.302;0.178
1.304;0.144
1.306;0.132
1.308;0.081
1.31;0.063
1.312;0.032
1.314;0.002
1.316;-0.041
1.318;-0.087
1.32;-0.13
1.322;-0.151
1.324;-0.189
1.326;-0.207
1.328;-0.222
1.33;-0.22
1.332;-0.24
1.334;-0.23
1.336;-0.24
1.338;-0.235
1.34;-0.232
1.342;-0.22
1.344;-0.197
1.346;-0.174
1.348;-0.138
1.35;-0.115
1.352;-0.072
1.354;-0.039
1.356;-0.006
1.358;0.035
1.36;0.063
1.362;0.086
1.364;0.116
1.366;0.142
1.368;0.165
1.37;0.198
1.372;0.221
1.374;0.226
1.376;0.244
1.378;0.249
1.38;0.234
1.382;0.221
1.384;0.213
1.386;0.185
1.388;0.172
1.39;0.152
1.392;0.119
1.394;0.091
1.396;0.058
1.398;0.015
1.4;-0.026
1.402;-0.057
1.404;-0.092
1.406;-0.118
1.408;-0.153
1.41;-0.176
1.412;-0.197
1.414;-0.212
1.416;-0.212
1.418;-0.227
1.42;-0.23
1.422;-0.222
1.424;-0.235
1.426;-0.222
1.428;-0.204
1.43;-0.192
1.432;-0.156
1.434;-0.128
1.436;-0.097
1.438;-0.067
1.44;-0.031
1.442;-0.008
1.444;0.035
1.446;0.053
1.448;0.088
1.45;0.116
1.452;0.147
1.454;0.175
1.456;0.198
1.458;0.218
1.46;0.229
1.462;0.229
1.464;0.226
1.466;0.221
1.468;0.216
1.47;0.203
1.472;0.17
1.474;0.172
1.476;0.142
1.478;0.116
1.48;0.076
1.482;0.05
1.484;0.02
1.486;-0.024
1.488;-0.067
1.49;-0.092
1.492;-0.125
1.494;-0.143
1.496;-0.164
1.498;-0.197
1.5;-0.194
1.502;-0.209
1.504;-0.22
1.506;-0.225
1.508;-0.232
1.51;-0.22
1.512;-0.207
1.514;-0.199
1.516;-0.169
1.518;-0.156
1.52;-0.13
1.522;-0.1
1.524;-0.064
1.526;-0.039
1.528;-0.008
1.53;0.035
1.532;0.05
1.534;0.086
1.536;0.114
1.538;0.152
1.54;0.162
1.542;0.19
1.544;0.2
1.546;0.221
1.548;0.229
1.55;0.213
1.552;0.206
1.554;0.206
1.556;0.193
1.558;0.175
1.56;0.155
1.562;0.129
1.564;0.109
1.566;0.081
1.568;0.045
1.57;0.004
1.572;-0.021
1.574;-0.062
1.576;-0.087
1.578;-0.118
1.58;-0.141
1.582;-0.161
1.584;-0.176
1.586;-0.184
1.588;-0.199
1.59;-0.209
1.592;-0.217
1.594;-0.209
1.596;-0.212
1.598;-0.199
1.6;-0.186
1.602;-0.166
1.604;-0.146
1.606;-0.105
1.608;-0.082
1.61;-0.057
1.612;-0.026
1.614;0.004
1.616;0.032
1.618;0.05
1.62;0.094
